Date,debt,dow jones industrial,economy,money,s&p 500
2015-01-01,5.0,1.0,6.0,93.0,1.0
2015-01-02,6.0,1.0,8.0,100.0,1.0
2015-01-03,6.0,0.0,7.0,97.0,1.0
2015-01-04,6.0,0.0,9.0,96.0,1.0
2015-01-05,8.0,2.0,10.0,95.0,1.0
2015-01-06,9.0,2.0,11.0,98.0,1.0
2015-01-07,9.0,2.0,11.0,93.0,1.0
2015-01-08,9.0,2.0,11.0,91.0,1.0
2015-01-09,8.0,1.0,11.0,92.0,1.0
2015-01-10,6.0,0.0,8.0,89.0,0.0
2015-01-11,5.0,0.0,8.0,90.0,1.0
2015-01-12,9.0,1.0,12.0,93.0,1.0
2015-01-13,9.0,1.0,11.0,92.0,1.0
2015-01-14,9.0,1.0,13.0,92.0,1.0
2015-01-15,9.0,1.0,11.0,93.0,1.0
2015-01-16,9.0,1.0,10.0,93.0,1.0
2015-01-17,6.0,0.0,8.0,89.0,1.0
2015-01-18,6.0,0.0,9.0,85.0,0.0
2015-01-19,8.0,1.0,10.0,90.0,1.0
2015-01-20,10.0,1.0,12.0,95.0,1.0
2015-01-21,11.0,1.0,13.0,95.0,1.0
2015-01-22,10.0,1.0,13.0,99.0,1.0
2015-01-23,9.0,1.0,11.0,97.0,1.0
2015-01-24,6.0,0.0,9.0,93.0,1.0
2015-01-25,6.0,0.0,10.0,92.0,0.0
2015-01-26,9.0,1.0,12.0,90.0,1.0
2015-01-27,11.0,2.0,12.0,96.0,1.0
2015-01-28,10.0,2.0,12.0,98.0,1.0
2015-01-29,10.0,1.0,13.0,96.0,1.0
2015-01-30,9.0,1.0,11.0,96.0,1.0
2015-01-31,7.0,1.0,8.0,91.0,1.0
2015-02-01,7.0,0.0,9.0,95.0,1.0
2015-02-02,9.0,1.0,11.0,95.0,1.0
2015-02-03,11.0,1.0,12.0,94.0,1.0
2015-02-04,10.0,2.0,13.0,95.0,1.0
2015-02-05,10.0,1.0,12.0,91.0,1.0
2015-02-06,10.0,1.0,12.0,95.0,1.0
2015-02-07,6.0,0.0,8.0,91.0,1.0
2015-02-08,7.0,0.0,9.0,89.0,1.0
2015-02-09,10.0,1.0,13.0,95.0,1.0
2015-02-10,10.0,1.0,12.0,94.0,1.0
2015-02-11,10.0,1.0,12.0,94.0,1.0
2015-02-12,10.0,1.0,11.0,92.0,1.0
2015-02-13,9.0,2.0,10.0,89.0,1.0
2015-02-14,5.0,0.0,7.0,83.0,1.0
2015-02-15,6.0,0.0,8.0,84.0,0.0
2015-02-16,9.0,1.0,11.0,91.0,1.0
2015-02-17,10.0,1.0,12.0,93.0,1.0
2015-02-18,10.0,1.0,12.0,95.0,1.0
2015-02-19,9.0,1.0,12.0,95.0,1.0
2015-02-20,10.0,1.0,10.0,93.0,1.0
2015-02-21,7.0,1.0,9.0,88.0,0.0
2015-02-22,6.0,0.0,10.0,88.0,0.0
2015-02-23,10.0,1.0,13.0,90.0,1.0
2015-02-24,11.0,1.0,13.0,96.0,1.0
2015-02-25,10.0,1.0,13.0,91.0,1.0
2015-02-26,10.0,1.0,12.0,92.0,1.0
2015-02-27,10.0,1.0,11.0,91.0,1.0
2015-02-28,6.0,0.0,9.0,89.0,1.0
2015-03-01,7.0,0.0,10.0,88.0,0.0
2015-03-02,9.0,1.0,12.0,93.0,1.0
2015-03-03,10.0,1.0,12.0,94.0,1.0
2015-03-04,9.0,1.0,13.0,89.0,1.0
2015-03-05,9.0,1.0,12.0,90.0,1.0
2015-03-06,8.0,1.0,11.0,89.0,1.0
2015-03-07,6.0,1.0,9.0,84.0,1.0
2015-03-08,6.0,0.0,9.0,88.0,1.0
2015-03-09,9.0,1.0,12.0,92.0,1.0
2015-03-10,10.0,1.0,13.0,94.0,1.0
2015-03-11,9.0,1.0,12.0,92.0,1.0
2015-03-12,10.0,1.0,12.0,93.0,1.0
2015-03-13,9.0,1.0,10.0,92.0,1.0
2015-03-14,6.0,0.0,9.0,87.0,1.0
